All,"Tất Cả"
"Print Invoice","In hóa đơn"
"About Your Order","Về đơn hàng của bạn"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> đặt hàng ngày:</span> %1"
"Refund #%1","Hoàn lại tiền #%1"
"Shipment #%1","Lô hàng #%1"
"Recent Orders","Đơn đặt hàng gần đây"
"Gift Message for This Order","Tin nhắn Quà tặng cho đơn đặt hàng này"
"Recently Ordered","Mới đặt hàng"
"Credit memo for your %store_name order","Bản ghi nhớ tín dụng cho đơn đặt hàng %store_name"
"Thank you for your order from %store_name.","Cảm ơn bạn đã đặt hàng từ %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Bạn có thể kiểm tra tình trạng đơn hàng của bạn bằng cách <a href=""%account_url""> đăng nhập vào tài khoản của bạn</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Nếu bạn có thắc mắc về đơn hàng, bạn có thể gửi email cho chúng tôi tại <a href=""mailto:%store_email""> %store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Bản ghi nhớ tín dụng của bạn #%creditmemo_id cho đơn đặt hàng #%order_id"
"Billing Info","Thông tin thanh toán"
"Update to your %store_name credit memo","Cập nhật các bản ghi nhớ tín dụng %store_name của bạn"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Đơn đặt hàng của bạn #%increment_id đã được cập nhật với trạng thái <strong>%order_status</strong>."
"Invoice for your %store_name order","Các hóa đơn cho các đơn đặt hàng %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Hoá đơn %invoice_id # cho các đơn đặt hàng #%order_id"
"Update to your %store_name invoice","Cập nhật các hoá đơn của bạn %store_name"
"Your %store_name order confirmation","Xác nhận đơn đặt hàng của bạn %store_name"
"Once your package ships we will send you a tracking number.","Khi hàng của bạn được vận chuyển chúng tôi sẽ gửi cho bạn dãy số theo dõi."
"Your Order <span class=""no-link"">#%increment_id</span>","Đơn đặt hàng của bạn <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Đặt trên <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Một khi gói của bạn được vận chuyển, chúng tôi sẽ gửi một email với một liên kết để theo dõi đơn hàng của bạn."
"Update to your %store_name order","Cập nhật %store_name các đơn đặt hàng"
"Your %store_name order has shipped","Đơn đặt hàng %store_name đã vận chuyển"
"Your shipping confirmation is below. Thank you again for your business.","Sự xác nhận vận chuyển của bạn ở dưới đây. Cảm ơn vì giao dịch của bạn."
"Your Shipment #%shipment_id for Order #%order_id","Vận chuyển #%shipment_id cho đơn hàng #%order_id"
"Update to your %store_name shipment","Cập Nhật cho %store_name sự gửi hàng của bạn"
"Gift Options for ","Tùy chọn Quà tặng cho "
"You have item changes","Bạn có sản phẩm thay đổi"
Operations,"Toán tử"
"Send Order Email","Gửi Email đơn đặt hàng"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh toán"
"Send Sales Emails","Gửi email bán hàng"
"Sales Section","Bán phần"
"Sales Emails Section","Phần email khuyến mại"
"Hide Customer IP","Khách hàng ẩn IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Chọn một khách hàng IP được thể hiện trong đơn hàng, hóa đơn, các lô hàng và tín dụng ghi nhớ."
"Checkout Totals Sort Order","Thứ tự sắp xếp thanh toán tổng số"
"Allow Reorder","Cho phép đặt hàng lại"
"Invoice and Packing Slip Design","Hóa đơn và đóng gói thiết kế trượt"
"Logo for PDF Print-outs (200x50)","Biểu tượng cho in PDF (200 x 50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Biểu tượng mặc định của bạn sẽ được sử dụng trong PDF và HTML.< br />(jpeg, tiff, png) nếu hình ảnh pdf của bạn bị bóp méo, hãy thử sử dụng tập tin hình ảnh có kích thước lớn hơn."
"Logo for HTML Print View","Biểu tượng cho HTML chế độ xem trước khi in"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Biểu tượng cho văn bản HTML. Nếu để trống, giá trị mặc định sẽ được sử dụng.<br />(jpeg, gif, png)"
"Include Tax to Amount","Bao gồm thuế vào số tiền"
"Description Message","Thông báo mô tả"
"Error to Show in Shopping Cart","Lỗi hiển thị trong giỏ hàng"
"Validate Each Address Separately in Multi-address Checkout","Xác nhận mỗi địa chỉ một cách riêng biệt trong nhiều địa chỉ thanh toán"
"Multi-address Description Message","Thư Mô tả nhiều địa chỉ"
"We'll use the default description above if you leave this empty.","Chúng tôi sẽ sử dụng mặc định mô tả ở trên nếu bạn để điều này trống."
"Multi-address Error to Show in Shopping Cart","Nhiều lỗi địa chỉ để hiển thị trong giỏ hàng"
"We'll use the default error above if you leave this empty.","Chúng tôi sẽ sử dụng mặc định lỗi ở trên nếu bạn để điều này trống."
"Use Aggregated Data","Sử dụng dữ liệu tổng hợp"
"Orders Cron Settings","Thiết lập Đơn đặt hàng Cron"
"Pending Payment Order Lifetime (minutes)","Đang chờ xử lý thanh toán suốt đời (phút)"
"Sales Emails","Email khuyến mại"
"Asynchronous sending","Gửi không đồng bộ"
"New Order Confirmation Email Sender","Người gửi Email xác nhận đơn đặt hàng mới"
"New Order Confirmation Template","Mẫu xác nhận đơn đặt hàng mới"
"New Order Confirmation Template for Guest","Mẫu xác nhận đơn đặt hàng mới cho khách"
"Send Order Email Copy To","Gửi đơn đặt hàng Email sao cho"
"Send Order Email Copy Method","Gửi Email phương pháp sao chép đơn đặt hàng"
"Order Comment Email Sender","Người gửi Email bình luận"
"Order Comment Email Template","Mẫu Email Để bình luận"
"Order Comment Email Template for Guest","Mẫu Email Để bình luận cho khách"
"Send Order Comment Email Copy To","Gửi bản sao Email để bình luận để"
"Send Order Comments Email Copy Method","Gửi phương pháp sao chép email bình luận"
"Invoice Email Sender","Người gửi Email hóa đơn"
"Invoice Email Template","Mẫu Email Hoá đơn"
"Invoice Email Template for Guest","Mẫu Email Hoá đơn cho khách"
"Send Invoice Email Copy To","Gửi hoá đơn Email sao chép cho"
"Send Invoice Email Copy Method","Gửi phương pháp sao chép email hóa đơn"
"Invoice Comment Email Sender","Người gửi Email hóa đơn bình luận"
"Invoice Comment Email Template","Mẫu Email nhận xét Hoá đơn"
"Invoice Comment Email Template for Guest","Mẫu Email nhận xét Hoá đơn cho khách"
"Send Invoice Comment Email Copy To","Gửi Email sao chép nhận xét hoá đơn cho"
"Send Invoice Comments Email Copy Method","Gửi Email phương pháp sao chép nhận xét hoá đơn"
"Shipment Email Sender","Lô hàng Email người gửi"
"Shipment Email Template","Lô hàng Email mẫu"
"Shipment Email Template for Guest","Mẫu email vận chuyển cho khách"
"Send Shipment Email Copy To","Gửi bản sao Email lô hàng đến"
"Send Shipment Email Copy Method","Gửi phương pháp sao chép Email lô hàng"
"Shipment Comments","Bình luận Vận chuyển"
"Shipment Comment Email Sender","Người gửi Email bình luận vận chuyển"
"Shipment Comment Email Template","Mẫu Email bình luận Lô hàng"
"Shipment Comment Email Template for Guest","Mẫu Email bình luận Lô hàng cho khách"
"Send Shipment Comment Email Copy To","Gửi Email sao chép bình luận lô hàng cho"
"Send Shipment Comments Email Copy Method","Gửi Email phương pháp sao chép bình luận lô hàng"
"Credit Memo Email Sender","Người gửi Email ghi nhớ tín dụng"
"Credit Memo Email Template","Mẫu Email ghi nhớ tín dụng"
"Credit Memo Email Template for Guest","Mẫu Email ghi nhớ tín dụng cho khách"
"Send Credit Memo Email Copy To","Gửi bản sao Email ghi nhớ tín dụng đến"
"Send Credit Memo Email Copy Method","Gửi phương pháp bản sao Email ghi nhớ tín dụng"
"Credit Memo Comment Email Sender","Bình luận người gửi Email ghi nhớ tín dụng"
"Credit Memo Comment Email Template","Mẫu bình luận Email ghi nhớ tín dụng"
"Credit Memo Comment Email Template for Guest","Mẫu Email bình luận ghi nhớ tín dụng cho khách"
"Send Credit Memo Comment Email Copy To","Gửi Email bản sao bình luận ghi nhớ tín dụng đến"
"Send Credit Memo Comments Email Copy Method","Gửi Email phương pháp sao chép bình luận ghi nhớ tín dụng"
"PDF Print-outs","In bản PDF"
"Display Order ID in Header","Hiển thị ID đơn hàng trên tiêu đề"
"Customer Order Status Notification","Thông báo trạng thái đơn đặt hàng của khách hàng"
"Asynchronous indexing","Không đồng bộ chỉ mục"
"Orders and Returns Search Form","Mẫu tìm kiếm Đơn đặt hàng và trả hàng"
"ZIP/Post Code","Số ZIP/Post Code"
"Signed-up Point","Đã đăng lên điểm"
"Invoice Date","Ngày Hoá đơn"
"Ship Date","Ngày vận chuyển"
"Total Quantity","Tổng số Số lượng"
"Default Status","Trạng thái mặc định"
"State Code and Title","Mã bang và tiêu đề"
"Item Status","Tình trạng sản phẩm"
"Original Price","Giá gốc"
"Tax Percent","Phần trăm thuế"
"PDF Credit Memos","Bản ghi nhớ tín dụng PDF"
"Print Invoices","In hóa đơn"
"Print Packing Slips","In bao bì phiếu"
"Print Credit Memos","In bản ghi nhớ tín dụng"
"Print All","In tất cả"
"Print Shipping Labels","In nhãn vận chuyển"
"Purchase Date","Ngày mua"
"Customer Email","Email Khách hàng"
"Shipping and Handling","Vận chuyển và xử lý"
"PDF Invoices","Hoá đơn PDF"
"PDF Shipments","Các lô hàng PDF"
"PDF Creditmemos","Bản ghi nhớ tín dụng PDF"
"Move to Archive","Di chuyển vào lưu trữ"
"Move to Order Management","Di chuyển đến quản lý đơn đặt hàng"
"We have archived the order.","Chúng tôi đã lưu trữ đơn hàng."
"Please specify the order ID to be archived.","Hãy chỉ định ID đơn đặt hàng để được lưu trữ."
"We archived %1 order(s).","Chúng tôi lưu trữ %1 dơn hàng."
"We can't archive the selected order(s).","Chúng tôi không thể lưu trữ đơn hàng được chọn."
"We removed %1 order(s) from the archive.","Chúng tôi loại bỏ %1 đơn hàng từ kho lưu trữ."
"We have removed the order from the archive.","Chúng tôi đã gỡ bỏ đơn đặt hàng từ các kho lưu trữ."
"Please specify the order ID to be removed from archive.","Hãy chỉ định ID đơn đặt hàng để được gỡ bỏ từ kho lưu trữ."
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Có %1 đơn đặt hàng trong kho lưu trữ này. Tất cả sẽ được chuyển đến bảng thường xuyên sau khi các kho lưu trữ bị vô hiệu hóa."
"Restore from Archive","Khôi phục từ kho lưu trữ"
"Orders, Invoices, Shipments, Credit Memos Archiving","Lưu trữ Đơn đặt hàng, hóa đơn, lô hàng, ghi nhớ tín dụng"
"Enable Archiving","Cho phép lưu trữ"
"Archive Orders Purchased","Lưu trữ các đơn đặt hàng đã thanh toán"
"Order Statuses to be Archived","Các trạng thái đơn đặt hàng để được lưu trữ"
"Mass Add","Khối lượng thêm"
"Sales Archive","Lưu trữ Bán hàng"
"Return to Order Management","Trở về quản lý đơn hàng"
"Go to Archive","Đi đến lưu trữ"
"Are you sure you want to delete this?","Bạn có chắc là bạn muốn xóa điều này không?"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Chỉ áp dụng các quy tắc cho giỏ hàng phù hợp với các điều kiện sau (để trống cho tất cả các mục)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Áp dụng các quy tắc chỉ nếu đáp ứng được các điều kiện sau (để trống cho tất cả sản phẩm)."
"Manage Coupon Codes","Quản lý mã coupon mua hàng"
"Coupon Qty","Số lượng Coupon"
"If empty no separation.","Nếu để trống thì không có sự tách biệt."
"Times Used","Thời gian sử dụng"
"Are you sure you want to delete the selected coupon(s)?","Bạn có chắc bạn muốn xóa phiếu giảm giá được chọn không?"
Labels,Nhãn
"%1 - Discounts and Coupons","%1 - phiếu giảm giá và mã giảm giá"
Coupons/Discounts,"Phiếu giảm giá/mã giảm giá"
"We can't delete the rule right now. Please review the log and try again.","Chúng tôi không thể xoá quy tắc này ngay bây giờ. Xin vui lòng xem lại các bản ghi và thử lại."
"New Cart Price Rule","Quy tắc Cart Price mới"
"Rule is not defined","Quy tắc không xác định"
"Invalid data provided","Dữ liệu được cung cấp không hợp lệ"
"Something went wrong while generating coupons. Please review the log and try again.","Một cái gì đó đã đi sai trong khi tạo ra các phiếu giảm giá. Xin vui lòng xem lại các bản ghi và thử lại."
"The wrong rule is specified.","Các quy tắc sai được chỉ định."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Chúng tôi không thể tạo yêu cầu số lượng mã giảm giá. Hãy kiểm tra cài đặt của bạn và thử lại."
"Specified rule does not allow coupons","Quy tắc được chỉ định không cho phép các phiếu giảm giá"
"Specified rule only allows auto generated coupons","Quy định được chỉ định chỉ cho phép tự động tạo ra phiếu giảm giá"
"Specified rule does not allow auto generated coupons","Quy tắc được chỉ định không cho phép tự động tạo ra phiếu giảm giá"
"Error occurred when saving coupon: %1","Lỗi xuất hiện khi lưu phiếu giảm giá: %1"
"Coupon with the same code","Phiếu mua hàng với cùng mã"
"No Coupon","Không có phiếu giảm giá"
"Specific Coupon","Phiếu mua hàng cụ thể"
"Can't acquire coupon.","Không nhận được phiếu giảm giá."
"Percent of product price discount","Phần trăm sản phẩm giảm giá"
"Fixed amount discount","Giảm giá số tiền cố định"
"Fixed amount discount for whole cart","Giảm giá số tiền cố định cho toàn bộ giỏ hàng"
"Buy X get Y free (discount amount is Y)","Có được mua X Y miễn phí (số tiền chiết khấu là Y)"
"Total Items Quantity","Số lượng tất cả các mục"
"Shipping Postcode","Mã bưu chính Vận chuyển"
"Shipping Region","Khu vực Vận chuyển"
"Shipping State/Province","Tiểu bang/tỉnh Vận chuyển"
"Shipping Country","Vận chuyển quốc gia"
"Product attribute combination","Sản phẩm thuộc tính tổ hợp"
"Products subselection","Sản phẩm cận chọn"
"Conditions combination","Kết hợp Điều kiện"
"Cart Attribute","Thuộc Tính Giỏ hàng"
"Quantity in cart","Số lượng trong giỏ hàng"
"Price in cart","Giá trong giỏ hàng"
"Row total in cart","Hàng tổng trong giỏ hàng"
"Cart Item Attribute","Thuộc tính sản phẩm trong Giỏ hàng"
FOUND,"TÌM THẤY"
"NOT FOUND","KHÔNG TÌM THẤY"
"If an item is %1 in the cart with %2 of these conditions true:","Nếu một mục là %1 trong giỏ hàng với %2 của điều kiện đúng:"
"total quantity","số lượng tổng số"
"total amount","tiền hàng"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Nếu %1 %2 %3 cho một cận chọn của các mục trong giỏ hàng %4 phù hợp với các điều kiện sau:"
"Specified rule does not allow automatic coupon generation","Quy tắc được chỉ định không cho phép thế hệ tự động mã giảm giá"
"Error occurred when generating coupons: %1","Lỗi xảy ra khi tạo ra các phiếu giảm giá: %1"
"Some coupons are invalid.","Một số phiếu giảm giá là không hợp lệ."
"Item totals are not set for the rule.","Tổng số sản phẩm không được đặt cho quy tắc."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Cart Price Rules dựa trên thuộc tính ""%2"" đã bị vô hiệu."
"%1 coupon(s) have been generated.","%1 coupon đã được tạo ra."
"Your coupon was successfully removed.","Phiếu mua hàng của bạn đã được loại bỏ thành công."
"Your coupon was successfully applied.","Phiếu mua hàng của bạn được áp dụng thành công."
Promotion,"Khuyến mãi"
"Auto Generated Specific Coupon Codes","Tự động tạo ra mã số phiếu giảm giá cụ thể"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
Nếu bạn chọn và lưu quy tắc, bạn sẽ có thể tạo ra nhiều mã giảm giá.                "
"Use Auto Generation","Sử dụng thế hệ tự động"
"Uses per Coupon","Số lần sử dụng một phiếu giảm giá"
"
                    Usage limit enforced for logged in customers only.
                ","
Giới hạn sử dụng chỉ được áp dụng cho khách hàng đã đăng nhập.                "
"Uses per Customer","Số lần sử dụng cho mỗi khách hàng"
"Public In RSS Feed","Các khu vực trong RSS Feed"
"Maximum Qty Discount is Applied To","Số lượng giảm giá tối đa là áp dụng cho"
"Discount Qty Step (Buy X)","Bước số lượng giảm giá (mua X)"
"Discount amount is applied to subtotal only","Số tiền giảm giá chỉ được áp dụng cho tổng phụ"
"Discount amount is applied to subtotal and shipping amount separately","Số tiền giảm giá được áp dụng cho tổng phụ và số tiền vận chuyển một cách riêng biệt"
"Apply to Shipping Amount","Áp dụng cho số lượng vận chuyển"
"Default Rule Label for All Store Views","Nhãn hiệu quy tắc mặc định cho tất cả các cửa hàng lượt xem"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Cập nhật trong tương lai trong khoảng thời gian này đã tồn tại. Chọn khoảng thời gian khác để thêm Cập nhật trong tương lai mới."
"Not enough arguments","Đối số không đủ"
"Fatal Error","Lỗi nghiêm trọng"
"Use deferred Stock update","Sử dụng cập nhật kho chậm"
"Use Deferred Stock Update","Sử dụng cập nhật kho chậm"
"Add Scheduled Export","Thêm định dạng Export"
"Add Scheduled Import","Thêm định dạng import"
"Scheduled Import/Export","định dạng Import/export"
"Please correct the scheduled operation type.","Xin vui lòng làm chính xác hình thức hoạt động theo lịch trình."
"Server Type","Loại Server"
"File Directory","Tập tin thư mục"
"FTP Host[:Port]","Máy chủ FTP [: port]"
"File Mode","Chế độ tập tin"
"Passive Mode","Chế độ thụ động"
"Failed Email Receiver","Nhận Email Thất bại"
"Failed Email Sender","Gửi Email Thất bại"
"Failed Email Template","Mẫu Email Thất bại"
"Send Failed Email Copy To","Gửi bản sao Email thất bại đến"
"Send Failed Email Copy Method","Gửiphương pháp sao Email thất bại"
"Export File Information","Thông tin tập tin xuất"
"Export Failed Emails","Xuất email thất bại"
"File Format","Định dạng tập tin"
"Import File Information","Thông tin tập tin nhập"
"Import Failed Emails","Nhập email thất bại"
"On Error","Bị lỗi"
"File Name","Tên tập tin"
"Clean Now","Dọn ngay bây giờ"
"Scheduled Imports/Exports","định dạng Import/export"
"The operation ran.","Quá trình thực hiện đã chạy."
"We can't run the operation right now, see error log for details.","Chúng tôi không thể chạy các hoạt động ngay bây giờ, hãy xem chi tiết nhật ký lỗi."
"We can't delete the scheduled operation right now.","Hiện tại không thể xóa các hoạt động theo lịch trình ngay bây giờ."
"No valid data sent","Không có dữ liệu hợp lệ được gửi"
"You deleted the history files.","Bạn đã xoá tập tin lịch sử."
"We can't delete the history files right now.","Hiện tại không thể xóa các tập tin lịch sử ngay bây giờ."
"We cannot change status for all items.","Chúng tôi không thể thay đổi trạng thái cho tất cả các sản phẩm."
"You deleted a total of %1 record(s).","Bạn đã xoá tổng số là %1 bản ghi."
"We can't delete all the items right now.","Chúng tôi không thể xoá tất cả các mặt hàng này ngay bây giờ."
"We can't save the scheduled operation right now.","Chúng tôi không thể lưu các hoạt động theo lịch trình ngay bây giờ."
"We can't create directory ""%1""","Chúng tôi không thể tạo thư mục ""%1"""
"The directory ""%1"" is not writable.","Thư mục ""%1"" không thể ghi được."
"We can't delete ""%1"" because the directory is not writable.","Hiện tại không thể xóa ""%1"" bởi vì thư mục không ghi được."
"Scheduled Import","Dự kiến nhập"
"New Scheduled Import","Dự kiến nhập mới"
"Scheduled Export","Dự kiến xuất"
"New Scheduled Export","Dự kiến xuất mới"
"You saved the scheduled import.","Bạn lưu lịch trình nhập."
"You saved the scheduled report.","Bạn đã lưu các báo cáo theo lịch trình."
"You deleted the scheduled import.","Bạn đã xoá lịch trình nhập."
"You deleted the scheduled export.","Bạn đã xoá lịch trình xuất."
"Are you sure you want to delete this scheduled import?","Bạn có chắc bạn muốn xóa bỏ dự kiến nhập này?"
"Are you sure you want to delete this scheduled export?","Bạn có chắc bạn muốn xóa bỏ dự kiến xuất này?"
"We were unable to save the cron expression.","Chúng tôi đã không thể lưu các biểu thức định kỳ."
"Unable to delete the cron task.","Không thể xóa bỏ tác vụ định kỳ."
"Please correct the cron job task","Xin vui lòng làm chính xác nhiệm vụ công việc định kỳ"
"File has been not created","Tệp đã không được tạo ra"
"Something went wrong and the operation failed.","Một cái gì đó đã đi sai và thao tác thất bại."
"We can't read the file source because the file name is empty.","Chúng tôi không thể đọc tập tin vì tên tập tin là rỗng."
"Connecting to server","Kết nối với máy chủ"
"Reading import file","Đọc tập tin nhập"
"We can't read the import file.","Chúng tôi không thể đọc tập tin được tích hợp."
"Save history file content ""%1""","Lưu nội dung lịch sử tập tin ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Chúng tôi không thể ghi các file tệp ""%1"" đến ""%2"" với phần mềm ghi ""%3""."
"Save file content","Lưu tệp nội dung"
"Please correct the server type.","Xin vui lòng làm chính xác loại máy chủ."
"Import path %1 not exists","đường dẫn Nhập %1 không tồn tại"
"We can't read the file.","Chúng tôi không thể đọc tập tin."
"We can't save the file history file.","Chúng tôi không thể lưu các lịch sử tập tin."
"Unknown file format","Định dạng tập tin không rõ"
"Local Server","Máy chủ địa phương"
"Remote FTP","FTP từ xa"
Binary,"Nhị phân"
"Stop Import","Dừng chuyển nhập"
"Continue Processing","Tiếp tục xử lý"
Successful,"Thành công"
"Can not open file","Không thể mở tập tin"
"%store_name - Scheduled Export Failed","%store_name - dự kiến xuất không thành công"
"%operation_name - Scheduled Export Failed","%operation_name - dự kiến xuất không thành công"
"Operation name:","Tên hành động:"
"Entity type:","Loại thực thể:"
"File history path:","Đường dẫn tệp lịch sử:"
"Log trace:","Nhật ký theo dõi:"
"Scheduled Import/Export File History Cleanup Warnings","Cảnh báo dọn dẹp lịch sử tập tin Theo lịch trình nhập khẩu"
"%store_name  - Scheduled Import Failed","%store_name - dự kiến nhập không thành công"
"%operation_name - Scheduled Import Failed","%operation_name - dự kiến nhập không thành công"
"Scheduled Import/Export File History Cleaning","Lên kế hoạch dọn dẹp tập tin nhập"
"Save Files, Days","Lưu các tập tin, ngày"
"Enable Scheduled File History Cleaning","Cho phép lên lịch làm sạch tệp tin lịch sử"
"Are you sure you want to delete the selected scheduled imports/exports?","Bạn có chắc bạn muốn xóa lựa chọn theo lịch trình nhập/xuất?"
"Last Run","Lần cuối chạy"
"Last Outcome","Kết quả cuối cùng"
"Search Term","Cụm từ tìm kiếm"
"Search Synonyms","Tìm từ đồng nghĩa"
"New Synonym Group","Nhóm từ đồng nghĩa mới"
"Delete Synonym Group","Xoá nhóm từ đồng nghĩa"
"Are you sure you want to delete this synonym group?","Bạn có chắc bạn muốn xóa bỏ nhóm từ đồng nghĩa này?"
"Save Synonym Group","Lưu nhóm từ đồng nghĩa"
"Save Search","Lưu tìm kiếm"
"Delete Search","Xóa tìm kiếm"
"Edit Search '%1'","Chỉnh sửa tìm kiếm '%1'"
"New Search","Tìm kiếm mới"
"Search Information","Thông tin Tìm kiếm"
"Number of results","Số lượng kết quả"
"Number of results (For the last time placed)","Số lượng kết quả (cho thời gian được đặt)"
"For the last time placed.","Lần cuối cùng được đặt."
"Number of Uses","Số lần sử dụng"
"ex. http://domain.com","ví dụ: http://domain.com"
"Display in Suggested Terms","Hiển thị trong cụm từ gợi ý"
"The synonym group has been deleted.","Các nhóm đồng nghĩa đã bị xóa."
"An error was encountered while performing delete operation.","Xảy ra lỗi khi thực hiện thao tác xóa."
"We can't find a synonym group to delete.","Chúng tôi không thể tìm thấy một nhóm từ đồng nghĩa để xóa."
"This synonyms group no longer exists.","Nhóm tham khảo này không còn tồn tại."
"Edit Synonym Group","Chỉnh sửa nhóm từ đồng nghĩa"
"Synonym Group","Nhóm từ đồng nghĩa"
"Failed to delete %1 synonym group(s).","Không thể xóa %1 nhóm từ đồng nghĩa."
"A total of %1 synonym group(s) have been deleted.","Tổng cộng %1 nhóm đồng nghĩa đã bị xóa."
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Tìm kiếm từ đồng nghĩa không được hỗ trợ bởi công cụ tìm kiếm %1. Bất kỳ từ đồng nghĩa nào bạn nhập vào sẽ không được sử dụng."
"This synonym group no longer exists.","Nhóm từ đồng nghĩa này không còn tồn tại."
"You saved the synonym group.","Bạn lưu lại các nhóm từ đồng nghĩa."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Cụm từ mà bạn nhập, (%1), thuộc về 1 nhóm đồng nghĩa hiện tại, %2. Chọn hộp thoại kiểm tra ""Kết hợp từ đồng nghĩa hiện tại"" để các điều khoản có thể được sáp nhập."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Cụm từ mà bạn nhập, (%1), thuộc về nhóm từ đồng nghĩa hiện tại %2, %3 và %4. Chọn hộp thoại kiểm tra ""Kết hợp từ đồng nghĩa hiện tại"" để các điều khoản có thể được sáp nhập."
"You deleted the search.","Bạn đã xoá tìm kiếm."
"We can't find a search term to delete.","Chúng tôi không thể tìm thấy các cụm từ tìm kiếm để xóa."
"This search no longer exists.","Tìm kiếm này không còn tồn tại."
"Edit Search","Chỉnh sửa tìm kiếm"
"Please select searches.","Vui lòng chọn tìm kiếm."
"Search Terms Report","Báo cáo cụm từ tìm kiếm"
"You saved the search term.","Bạn lưu lại cụm từ tìm kiếm."
"Something went wrong while saving the search query.","Có gì đó đã sai trong khi lưu truy vấn tìm kiếm."
"You already have an identical search term query.","Bạn đã có một cụm từ truy vấn giống hệt."
"Your search query can't be longer than %1, so we shortened your query.","Truy vấn tìm kiếm của bạn không được quá %1, thế nên sẽ rút ngắn truy vấn này."
"Merge conflict with existing synonym group(s): %1","Kết hợp các cuộc xung đột với nhóm từ đồng nghĩa sẵn có: %1"
"Are you sure you want to delete synonym group with id: %1?","Bạn có chắc bạn muốn xóa bỏ nhóm từ đồng nghĩa với id: %1?"
"    All Store Views","    Tất cả lượt xem cửa hàng"
"Search entire store here...","Tìm toàn bộ cửa hàng ở đây..."
"There are no search terms available.","Không có cụm từ tìm kiếm có sẵn nào."
"Search Engine","Công cụ tìm kiếm"
Hits,"Lượt truy cập"
"Suggested Terms","Từ gợi ý"
"You can adjust the scope of this synonym group by selecting an option from the list.","Bạn có thể điều chỉnh phạm vi của nhóm từ đồng nghĩa này bằng cách chọn một tùy chọn từ danh sách."
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Danh sách từ đồng nghĩa được phân cách bằng dấu phẩy. Cụm từ bạn nhập (ngăn cách bởi dấu phẩy) sẽ được sử dụng như một truy vấn tìm kiếm ""hoặc"" để tìm kiếm trên toàn bộ cửa hàng của bạn. Ví dụ, nếu bạn nhập ""giày, dép"", và người dùng đã tìm ""giày"", kết quả tìm kiếm sẽ bao gồm bất cứ sản phẩm nào có nội dung chứa ""giày"" hoặc ""dép"""
Synonyms,"Tham khảo"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Tự động kết hợp từ đồng nghĩa trong các nhóm trong cùng một phạm vi. Nếu bạn kiểm tra hộp thoại này và bạn thêm một hoặc nhiều hơn cùng một điều khoản cho các nhóm từ đồng nghĩa khác nhau trong phạm vi tương tự, tự động kết hợp tất cả các điều khoản cho một nhóm. Nếu điều này không phải những gì bạn muốn, bỏ chọn hộp thoại và sẽ có lỗi hiển thị nếu bạn cố gắng thêm các thuật ngữ tương tự."
"Are you sure you want to delete the selected synonym groups?","Bạn có chắc bạn muốn xoá các nhóm từ đồng nghĩa đã được chọn?"
"Account Activity","Hoạt động tài khoản"
"All other open sessions for this account were terminated.","Tất cả các buổi mở khác cho tài khoản này đã chấm dứt."
"We couldn't logout because of an error.","Chúng tôi không thể đăng xuất do một lỗi."
"Someone logged into this account from another device or browser. Your current session is terminated.","Ai đó đăng nhập vào tài khoản này từ thiết bị hoặc trình duyệt khác. Phiên hiện tại của bạn kết thúc."
